date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:54	82573/82573	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index.html	(from )
19:19:55	69/69	---M-Z	200	added ('OK')	text/plain	etag:%225e-647889cb8d4a7-gzip%22	https://doccure.dreamstechnologies.com/robots.txt		(from )
19:19:55	45773/45773	---M--	200	added ('OK')	image/jpeg	etag:%22dfef-647b5747ef333%22	https://doccure.dreamstechnologies.com/html/template/assets/img/preview-banner.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/preview-banner.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:56	11959/11959	---M--	200	added ('OK')	image/png	etag:%2235ef-647b5747444cc%22	https://doccure.dreamstechnologies.com/html/template/assets/img/favicon.png	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/favicon.png	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:56	940/940	---M--	200	added ('OK')	image/png	etag:%22766-647b5746a3a75%22	https://doccure.dreamstechnologies.com/html/template/assets/img/apple-touch-icon.png	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/apple-touch-icon.png	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:57	1555/1555	---M-Z	200	added ('OK')	text/javascript	etag:%22613-647b574817ba5-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/js/theme-script.js	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/js/theme-script.js	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:57	232110/232110	---M-Z	200	added ('OK')	text/css	etag:%2238aae-647b5746875e6-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/css/bootstrap.min.css	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:58	56365/56365	---M-Z	200	added ('OK')	text/css	etag:%22dc2d-647b574687512-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/css/animate.css	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/css/animate.css	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:58	57097/57097	---M-Z	200	added ('OK')	text/css	etag:%22df09-647b574818c7b-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:59	74185/74185	---M-Z	200	added ('OK')	text/css	etag:%22121c9-647b574818c7b-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/all.min.css	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/all.min.css	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:59	476801/476801	---M-Z	200	added ('OK')	text/css	etag:%2274681-647b57468810c-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/css/iconsax.css	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/css/iconsax.css	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:59	13391/13391	---M-Z	200	added ('OK')	text/css	etag:%22344f-647b57468793c-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/css/feather.css	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/css/feather.css	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:59	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%22559-647b5748227dc-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/plugins/slick/slick.css	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/plugins/slick/slick.css	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:59	2390/2390	---M-Z	200	added ('OK')	text/css	etag:%22956-647b5748227dc-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/plugins/slick/slick-theme.css	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/plugins/slick/slick-theme.css	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:19:59	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-647b574823caf-gzip%22	https://doccure.dreamstechnologies.com/html/template/assets/plugins/wow/css/animate.css	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/plugins/wow/css/animate.css	(from https://doccure.dreamstechnologies.com/html/template/index.html)
